Date	Last Price
2026-04-06	6902.85
2026-03-31	7008.88
2026-02-27	5919.24
2026-01-30	5408.17
2025-12-31	4873.15
2025-11-28	5151.95
2025-10-31	4892.80
2025-09-30	5100.88
2025-08-29	5106.47
2025-07-31	4945.10
2025-06-30	4855.66
2025-05-30	4596.38
2025-04-30	4277.52
2025-03-31	5088.36
2025-02-28	5051.40
2025-01-31	5184.61
2024-12-31	5118.15
2024-11-29	5593.89
2024-10-31	5045.97
2024-09-30	5077.87
2024-08-30	5360.80
2024-07-31	5649.37
2024-06-28	5625.48
2024-05-31	5852.85
2024-04-30	5844.79
2024-03-29	5988.72
2024-02-29	5412.78
2024-01-31	5135.14
2023-12-29	5289.86
2023-11-30	5301.41
2023-10-31	5608.13
2023-09-29	5710.48
2023-08-31	5721.93
2023-07-31	5523.74
2023-06-30	4973.39
2023-05-31	4537.57
2023-04-28	4906.55
2023-03-31	4925.62
2023-02-28	5118.62
2023-01-31	5437.07
2022-12-30	5241.07
2022-11-30	5838.81
2022-10-31	5829.38
2022-09-30	4807.07
2022-08-31	5548.83
2022-07-29	5268.66
2022-06-30	4590.06
2022-05-31	5920.13
2022-04-29	5060.38
2022-03-31	5166.83
2022-02-28	4483.23
2022-01-31	4093.10
2021-12-31	3682.69
2021-11-30	3724.42
2021-10-29	4075.18
2021-09-30	3707.26
2021-08-31	3159.84
2021-07-30	3169.51
2021-06-30	3705.81
2021-05-31	3400.01
2021-04-30	3071.68
2021-03-31	3109.22
2021-02-26	3068.65
2021-01-29	2458.97
2020-12-31	2237.16
2020-11-30	2056.89
2020-10-30	1553.25
2020-09-30	1610.37
2020-08-31	1953.05
2020-07-31	1959.44
2020-06-30	1994.74
2020-05-29	1967.87
2020-04-30	2079.41
2020-03-31	1255.69
2020-02-28	2337.76
2020-01-31	2915.17
2019-12-31	3617.38
2019-11-29	3086.53
2019-10-31	3214.92
2019-09-30	3402.04
2019-08-30	3276.19
2019-07-31	3818.80
2019-06-28	4150.97
2019-05-31	3893.64
2019-04-30	4710.89
2019-03-29	4681.27
2019-02-28	4529.20
2019-01-31	4653.89
2018-12-31	4044.06
2018-11-30	4982.33
2018-10-31	5500.83
2018-09-28	6594.23
2018-08-31	6440.72
2018-07-31	6547.36
2018-06-29	6555.08
2018-05-31	6420.20
2018-04-30	5993.56
2018-03-30	5365.69
2018-02-28	5026.87
2018-01-31	5616.47
2017-12-29	5673.53
2017-11-30	5429.24
2017-10-31	5217.18
2017-09-29	5191.83
2017-08-31	4584.18
2017-07-31	4951.67
2017-06-30	4857.15
2017-05-31	4951.89
2017-04-28	5326.63
2017-03-31	5700.61
2017-02-28	5753.70
2017-01-31	6099.09
2016-12-30	6308.60
2016-11-30	6365.37
2016-10-31	5386.93
2016-09-30	5854.80
2016-08-31	5588.05
2016-07-29	5212.03
2016-06-30	5297.27
2016-05-31	5394.90
2016-04-29	5437.86
2016-03-31	4622.51
2016-02-29	3737.80
2016-01-29	4339.91
2015-12-31	4601.66
2015-11-30	5642.87
2015-10-30	5645.12
2015-09-30	5001.12
2015-08-31	5795.13
2015-07-31	5826.33
2015-06-30	7100.87
2015-05-29	7507.06
2015-04-30	8360.38
2015-03-31	7501.35
2015-02-27	7709.05
2015-01-30	7013.59
2014-12-31	7271.25
2014-11-28	7725.44
2014-10-31	9229.98
2014-09-30	10454.42
2014-08-29	11986.89
2014-07-31	11417.20
2014-06-30	12490.67
2014-05-30	11681.19
2014-04-30	11779.21
2014-03-31	10896.20
2014-02-28	10546.38
2014-01-31	9980.19
2013-12-31	10400.37
2013-11-29	10287.72
2013-10-31	10571.38
2013-09-30	10003.49
2013-08-30	9403.26
2013-07-31	9469.98
2013-06-28	8843.20
2013-05-31	9144.70
2013-04-30	8708.43
2013-03-29	9173.92
2013-02-28	8781.99
2013-01-31	8800.55
2012-12-31	8183.36
2012-11-30	7978.14
2012-10-31	8095.75
2012-09-28	8395.79
2012-08-31	7929.18
2012-07-31	7719.23
2012-06-29	7594.48
2012-05-31	7210.01
2012-04-30	8501.86
2012-03-30	8581.00
2012-02-29	8919.83
2012-01-31	8230.69
2011-12-30	7934.69
2011-11-30	8296.81
2011-10-31	8106.20
2011-09-30	6452.82
2011-08-31	8080.74
2011-07-29	9358.24
2011-06-30	8844.06
2011-05-31	9169.19
2011-04-29	9594.30
2011-03-31	9703.90
2011-02-28	9229.15
2011-01-31	8493.90
2010-12-31	7894.21
2010-11-30	7215.22
2010-10-29	6560.43
2010-09-30	6321.30
2010-08-31	5762.28
2010-07-30	6078.33
2010-06-30	5839.73
2010-05-31	6133.35
2010-04-30	6691.39
2010-03-31	6305.00
2010-02-26	6152.21
2010-01-29	5931.97
2009-12-31	6166.16
2009-11-30	5738.27
2009-10-30	5749.98
2009-09-30	5788.22
2009-08-31	5267.44
2009-07-31	5223.01
2009-06-30	4739.29
2009-05-29	5401.06
2009-04-30	4616.38
2009-03-31	4028.98
2009-02-27	3884.81
2009-01-30	4474.04
2008-12-31	4442.71
2008-11-28	4644.80
2008-10-31	5125.91
2008-09-30	6735.70
2008-08-29	8218.98
2008-07-31	8125.06
2008-06-30	10512.50
2008-05-30	9738.79
2008-04-30	8845.73
2008-03-31	8059.69
2008-02-29	8140.66
2008-01-31	7237.64
2007-12-31	7812.58
2007-11-30	7271.24
2007-10-31	7936.53
2007-09-28	7053.02
2007-08-31	6465.58
2007-07-31	6610.65
2007-06-29	6885.92
2007-05-31	6980.36
2007-04-30	6495.25
2007-03-30	6102.29
2007-02-28	5801.08
2007-01-31	5874.36
2006-12-29	5718.76
2006-11-30	6168.10
2006-10-31	5601.47
2006-09-29	5310.15
2006-08-31	5791.78
2006-07-31	6031.48
2006-06-30	5867.84
2006-05-31	5562.68
2006-04-28	5935.12
