Date	Last Price
2026-04-06	6902.85
2026-04-03	6853.07
2026-03-27	7258.81
2026-03-20	6800.51
2026-03-13	6451.90
2026-03-06	6313.73
2026-02-27	5919.24
2026-02-20	5850.79
2026-02-13	5702.15
2026-02-06	5644.58
2026-01-30	5408.17
2026-01-23	5214.28
2026-01-16	5026.75
2026-01-09	4917.22
2026-01-02	4977.34
2025-12-26	4827.07
2025-12-19	4814.08
2025-12-12	5059.25
2025-12-05	5253.23
2025-11-28	5151.95
2025-11-21	4986.33
2025-11-14	5160.29
2025-11-07	4995.29
2025-10-31	4892.80
2025-10-24	4955.64
2025-10-17	4769.11
2025-10-10	4783.77
2025-10-03	5140.51
2025-09-26	5298.65
2025-09-19	4989.05
2025-09-12	4994.39
2025-09-05	4978.13
2025-08-29	5106.47
2025-08-22	4940.03
2025-08-15	4789.71
2025-08-08	4746.15
2025-08-01	4772.25
2025-07-25	4940.14
2025-07-18	4999.50
2025-07-11	5138.49
2025-07-04	4991.51
2025-06-27	4910.46
2025-06-20	5164.83
2025-06-13	5100.86
2025-06-06	4738.96
2025-05-30	4596.38
2025-05-23	4645.34
2025-05-16	4832.61
2025-05-09	4588.44
2025-05-02	4438.46
2025-04-25	4377.74
2025-04-18	4323.48
2025-04-11	4162.41
2025-04-04	4122.37
2025-03-28	5048.68
2025-03-21	5051.07
2025-03-14	4881.83
2025-03-07	4722.14
2025-02-28	5051.40
2025-02-21	5219.03
2025-02-14	5278.52
2025-02-07	5149.57
2025-01-31	5184.61
2025-01-24	5436.52
2025-01-17	5627.25
2025-01-10	5389.44
2025-01-03	5244.28
2024-12-27	4969.55
2024-12-20	4854.37
2024-12-13	5222.92
2024-12-06	5222.51
2024-11-29	5593.89
2024-11-22	5719.68
2024-11-15	5422.23
2024-11-08	5405.57
2024-11-01	4992.65
2024-10-25	5190.18
2024-10-18	5209.83
2024-10-11	5435.75
2024-10-04	5441.77
2024-09-27	5065.03
2024-09-20	5168.65
2024-09-13	4930.65
2024-09-06	4958.48
2024-08-30	5360.80
2024-08-23	5350.53
2024-08-16	5366.42
2024-08-09	5265.02
2024-08-02	5193.96
2024-07-26	5602.40
2024-07-19	5654.13
2024-07-12	5640.07
2024-07-05	5558.78
2024-06-28	5625.48
2024-06-21	5507.72
2024-06-14	5481.85
2024-06-07	5607.14
2024-05-31	5852.85
2024-05-24	5712.19
2024-05-17	5872.43
2024-05-10	5807.78
2024-05-03	5799.94
2024-04-26	6060.49
2024-04-19	5917.07
2024-04-12	6097.91
2024-04-05	6202.54
2024-03-29	5988.72
2024-03-22	5816.84
2024-03-15	5701.93
2024-03-08	5507.53
2024-03-01	5484.03
2024-02-23	5355.37
2024-02-16	5325.46
