Date	Last Price
2026-03-31	101.38
2026-02-28	67.39
2026-01-31	65.21
2025-12-31	57.42
2025-11-30	58.65
2025-10-31	60.98
2025-09-30	62.37
2025-08-31	64.01
2025-07-31	69.26
2025-06-30	65.11
2025-05-31	60.79
2025-04-30	58.21
2025-03-31	71.48
2025-02-28	69.76
2025-01-31	72.53
2024-12-31	71.72
2024-11-30	68.72
2024-10-31	69.26
2024-09-30	68.17
2024-08-31	73.55
2024-07-31	77.91
2024-06-30	81.54
2024-05-31	76.99
2024-04-30	81.93
2024-03-31	83.17
2024-02-29	78.26
2024-01-31	75.85
2023-12-31	71.65
2023-11-30	75.96
2023-10-31	81.02
2023-09-30	90.79
2023-08-31	83.63
2023-07-31	81.80
2023-06-30	70.64
2023-05-31	68.09
2023-04-30	76.78
2023-03-31	75.67
2023-02-28	77.05
2023-01-31	78.87
2022-12-31	80.26
2022-11-30	80.55
2022-10-31	86.53
2022-09-30	79.49
2022-08-31	89.55
2022-07-31	98.62
2022-06-30	105.76
2022-05-31	114.67
2022-04-30	104.69
2022-03-31	100.28
2022-02-28	95.72
2022-01-31	88.15
2021-12-31	76.99
2021-11-30	66.18
2021-10-31	83.57
2021-09-30	75.03
2021-08-31	68.50
2021-07-31	73.95
2021-06-30	73.47
2021-05-31	66.32
2021-04-30	63.58
2021-03-31	59.16
2021-02-28	61.50
2021-01-31	52.20
2020-12-31	48.52
2020-11-30	45.34
2020-10-31	35.79
2020-09-30	40.22
2020-08-31	42.61
2020-07-31	40.27
2020-06-30	39.27
2020-05-31	35.49
2020-04-30	18.84
2020-03-31	20.48
2020-02-29	44.76
2020-01-31	51.56
2019-12-31	61.06
2019-11-30	55.17
2019-10-31	54.18
2019-09-30	54.07
2019-08-31	55.10
2019-07-31	58.58
2019-06-30	58.47
2019-05-31	53.50
2019-04-30	63.91
2019-03-31	60.14
2019-02-28	57.22
2019-01-31	53.79
2018-12-31	45.41
2018-11-30	50.93
2018-10-31	65.31
2018-09-30	73.25
2018-08-31	69.80
