Date	Last Price
2026-03-31	101.38
2026-01-16	67.39
2026-01-09	65.21
2026-01-02	57.42
2025-11-07	58.65
2025-10-31	60.98
2025-10-03	62.37
2025-08-08	64.01
2025-08-01	69.26
2025-07-04	65.11
2025-05-09	60.79
2025-05-02	58.21
2025-04-04	71.48
2025-02-28	69.76
2025-01-31	72.53
2025-01-03	71.72
2024-11-08	68.72
2024-11-01	69.26
2024-10-04	68.17
2024-08-09	73.55
2024-08-02	77.91
2024-06-07	81.54
2024-05-31	76.99
2024-05-03	81.93
2024-03-08	83.17
2024-03-01	78.26
2024-02-02	75.85
2023-12-08	71.65
2023-12-01	75.96
2023-11-03	81.02
2023-09-08	90.79
2023-09-01	83.63
2023-08-04	81.80
2023-06-30	70.64
2023-06-02	68.09
2023-04-07	76.78
2023-03-31	75.67
2023-03-03	77.05
2023-02-03	78.87
2022-12-09	80.26
2022-12-02	80.55
2022-11-04	86.53
2022-09-30	79.49
2022-09-02	89.55
2022-07-08	98.62
2022-07-01	105.76
2022-06-03	114.67
2022-04-08	104.69
2022-04-01	100.28
2022-03-04	95.72
2022-02-04	88.15
2021-12-31	76.99
2021-12-03	66.18
2021-10-08	83.57
2021-10-01	75.03
2021-09-03	68.50
2021-07-09	73.95
2021-07-02	73.47
2021-06-04	66.32
2021-04-30	63.58
2021-04-02	59.16
2021-01-15	61.50
2021-01-08	52.20
2021-01-01	48.52
2020-12-04	45.34
2020-10-09	35.79
2020-10-02	40.22
2020-09-04	42.61
2020-07-31	40.27
2020-07-03	39.27
2020-05-08	35.49
2020-05-01	18.84
2020-04-03	20.48
2020-02-07	44.76
2020-01-31	51.56
2020-01-03	61.06
2019-11-08	55.17
2019-11-01	54.18
2019-10-04	54.07
2019-08-09	55.10
2019-08-02	58.58
2019-06-07	58.47
2019-05-31	53.50
2019-05-03	63.91
2019-03-08	60.14
2019-03-01	57.22
2019-02-01	53.79
2019-01-04	45.41
2018-11-30	50.93
2018-11-02	65.31
2018-09-07	73.25
2018-08-31	69.80
2018-08-03	68.76
2018-06-08	74.15
2018-06-01	67.04
2018-05-04	68.57
2018-03-09	64.94
2018-03-02	61.64
2018-02-02	64.73
2017-12-08	60.42
2017-12-01	57.40
2017-11-03	54.38
2017-09-08	51.67
2017-09-01	47.23
2017-08-04	50.17
2017-06-30	46.04
2017-06-02	48.32
2017-04-07	49.33
2017-03-31	50.60
2017-03-03	54.01
2017-02-03	52.81
2016-12-09	53.72
2016-12-02	49.44
2016-11-04	46.86
2016-09-30	48.24
2016-09-02	44.70
2016-07-08	41.60
2016-07-01	48.33
2016-06-03	49.10
2016-04-08	45.92
2016-04-01	38.34
2016-03-04	33.75
2016-01-08	33.62
2016-01-01	37.04
2015-12-04	41.65
2015-10-09	46.59
2015-10-02	45.09
2015-09-04	49.20
2015-07-31	47.12
2015-07-03	59.47
2015-05-08	60.30
2015-05-01	59.63
2015-04-03	47.60
2015-01-16	49.76
2015-01-09	48.24
2015-01-02	53.27
2014-11-07	66.15
2014-10-31	80.54
2014-10-03	91.16
2014-08-08	95.96
2014-08-01	98.17
2014-07-04	105.37
2014-05-09	102.71
2014-05-02	99.74
2014-04-04	101.58
2014-02-28	102.59
2014-01-31	97.49
2014-01-03	98.42
2013-11-08	92.72
2013-11-01	96.38
2013-10-04	102.33
2013-08-09	107.65
2013-08-02	105.03
2013-06-07	96.56
2013-05-31	91.97
2013-05-03	93.46
2013-03-08	97.23
2013-03-01	92.05
2013-02-01	97.49
2013-01-04	91.82
2012-11-30	88.91
2012-11-02	86.24
2012-09-07	92.19
2012-08-31	96.47
2012-08-03	88.06
2012-06-08	84.96
2012-06-01	86.53
2012-05-04	104.87
2012-03-09	103.02
2012-03-02	107.07
2012-02-03	98.48
2011-12-09	98.83
2011-12-02	100.36
2011-11-04	93.19
2011-09-30	79.20
2011-09-02	88.81
2011-07-08	95.70
2011-07-01	95.42
2011-06-03	102.70
2011-04-08	113.93
2011-04-01	106.72
2011-03-04	96.97
2011-02-04	92.19
2010-12-31	91.38
2010-12-03	84.11
2010-10-08	81.43
2010-10-01	79.97
2010-09-03	71.92
2010-07-09	78.95
2010-07-02	75.63
2010-06-04	73.97
2010-04-30	86.15
2010-04-02	83.76
2010-01-15	79.66
2010-01-08	72.89
2010-01-01	79.36
2009-12-04	77.28
2009-10-09	77.00
2009-10-02	70.61
2009-09-04	69.96
2009-07-31	69.45
2009-07-03	69.89
2009-05-08	66.31
2009-05-01	51.12
2009-04-03	49.66
2009-01-16	44.76
2009-01-09	41.68
2009-01-02	44.60
2008-11-07	54.43
2008-10-31	67.81
2008-10-03	100.64
2008-08-08	115.46
2008-08-01	124.08
2008-07-04	140.00
2008-05-09	127.35
2008-05-02	113.46
2008-04-04	101.58
2008-02-29	101.84
2008-02-01	91.75
2008-01-04	96.00
2007-11-30	88.71
2007-11-02	94.53
2007-09-07	81.66
2007-08-31	74.04
2007-08-03	78.21
2007-06-08	70.68
2007-06-01	64.01
2007-05-04	65.71
2007-03-09	65.87
2007-03-02	61.79
2007-02-02	58.14
2006-12-08	61.05
2006-12-01	63.13
2006-11-03	58.73
2006-09-08	62.91
2006-09-01	70.26
2006-08-04	74.40
2006-06-30	73.93
2006-06-02	71.29
2006-04-07	71.88
2006-03-31	66.63
2006-03-03	61.41
2006-02-03	67.92
2005-12-09	61.04
2005-12-02	57.32
2005-11-04	59.76
2005-09-30	66.24
2005-09-02	68.94
2005-07-08	60.57
2005-07-01	56.50
2005-06-03	51.97
2005-04-08	49.72
2005-04-01	55.40
2005-03-04	51.75
2005-02-04	48.20
2004-12-31	43.45
2004-12-03	49.13
2004-10-08	51.76
2004-10-01	49.64
2004-09-03	42.12
2004-07-09	43.80
2004-07-02	37.05
2004-06-04	39.88
2004-04-30	37.38
2004-04-02	35.76
2004-01-16	36.16
2004-01-09	33.05
2004-01-02	32.52
2003-11-07	30.41
2003-10-31	29.11
2003-10-03	29.20
2003-08-08	31.57
2003-08-01	30.54
2003-07-04	30.19
2003-05-09	29.56
2003-05-02	25.80
2003-04-04	31.04
2003-02-28	36.60
2003-01-31	33.51
2003-01-03	31.20
2002-11-08	26.89
2002-11-01	27.22
2002-10-04	30.45
2002-08-09	28.98
2002-08-02	27.02
2002-06-07	26.86
2002-05-31	25.31
2002-05-03	27.29
2002-03-08	26.31
2002-03-01	21.74
2002-02-01	19.48
2002-01-04	19.84
2001-11-30	19.44
2001-11-02	21.18
2001-09-07	23.43
2001-08-31	27.20
2001-08-03	26.35
2001-06-08	26.26
2001-06-01	28.37
2001-05-04	28.46
2001-03-09	26.30
2001-03-02	27.40
2001-02-02	28.66
2000-12-08	26.80
2000-12-01	33.82
2000-11-03	32.70
2000-09-08	30.84
2000-09-01	33.12
2000-08-04	27.43
2000-06-30	32.50
2000-06-02	29.01
2000-04-07	25.74
2000-03-31	26.90
2000-03-03	30.43
2000-02-04	27.64
1999-12-31	25.60
