Date	Last Price
2026-04-07	46448.61
2026-03-31	46341.51
2026-02-27	48977.92
2026-01-30	48892.47
2025-12-31	48063.29
2025-11-28	47716.42
2025-10-31	47562.87
2025-09-30	46397.89
2025-08-29	45544.88
2025-07-31	44130.98
2025-06-30	44094.77
2025-05-30	42270.07
2025-04-30	40669.36
2025-03-31	42001.76
2025-02-28	43840.91
2025-01-31	44544.66
2024-12-31	42544.22
2024-11-29	44910.65
2024-10-31	41763.46
2024-09-30	42330.15
2024-08-30	41563.08
2024-07-31	40842.79
2024-06-28	39118.86
2024-05-31	38686.32
2024-04-30	37815.92
2024-03-29	39807.37
2024-02-29	38996.39
2024-01-31	38150.30
2023-12-29	37689.54
2023-11-30	35950.89
2023-10-31	33052.87
2023-09-29	33507.50
2023-08-31	34721.91
2023-07-31	35559.53
2023-06-30	34407.60
2023-05-31	32908.27
2023-04-28	34098.16
2023-03-31	33274.15
2023-02-28	32656.70
2023-01-31	34086.04
2022-12-30	33147.25
2022-11-30	34589.77
2022-10-31	32732.95
2022-09-30	28725.51
2022-08-31	31510.43
2022-07-29	32845.13
2022-06-30	30775.43
2022-05-31	32990.12
2022-04-29	32977.21
2022-03-31	34678.35
2022-02-28	33892.60
2022-01-31	35131.86
2021-12-31	36338.30
2021-11-30	34483.72
2021-10-29	35819.56
2021-09-30	33843.92
2021-08-31	35360.73
2021-07-30	34935.47
2021-06-30	34502.51
2021-05-31	34529.45
2021-04-30	33874.85
2021-03-31	32981.55
2021-02-26	30932.37
2021-01-29	29982.62
2020-12-31	30606.48
2020-11-30	29638.64
2020-10-30	26501.60
2020-09-30	27781.70
2020-08-31	28430.05
2020-07-31	26428.32
2020-06-30	25812.88
2020-05-29	25383.11
2020-04-30	24345.72
2020-03-31	21917.16
2020-02-28	25409.36
2020-01-31	28256.03
2019-12-31	28538.44
2019-11-29	28051.41
2019-10-31	27046.23
2019-09-30	26916.83
2019-08-30	26403.28
2019-07-31	26864.27
2019-06-28	26599.96
2019-05-31	24815.04
2019-04-30	26592.91
2019-03-29	25928.68
2019-02-28	25916.00
2019-01-31	24999.67
2018-12-31	23327.46
2018-11-30	25538.46
2018-10-31	25115.76
2018-09-28	26458.31
2018-08-31	25964.82
2018-07-31	25415.19
2018-06-29	24271.41
2018-05-31	24415.84
2018-04-30	24163.15
2018-03-30	24103.11
2018-02-28	25029.20
2018-01-31	26149.39
2017-12-29	24719.22
2017-11-30	24272.35
2017-10-31	23377.24
2017-09-29	22405.09
2017-08-31	21948.10
2017-07-31	21891.12
2017-06-30	21349.63
2017-05-31	21008.65
2017-04-28	20940.51
2017-03-31	20663.22
2017-02-28	20812.24
2017-01-31	19864.09
2016-12-30	19762.60
2016-11-30	19123.58
2016-10-31	18142.42
2016-09-30	18308.15
2016-08-31	18400.88
2016-07-29	18432.24
2016-06-30	17929.99
2016-05-31	17787.20
2016-04-29	17773.64
2016-03-31	17685.09
2016-02-29	16516.50
2016-01-29	16466.30
2015-12-31	17425.03
2015-11-30	17719.92
2015-10-30	17663.54
2015-09-30	16284.70
2015-08-31	16528.03
2015-07-31	17689.86
2015-06-30	17619.51
2015-05-29	18010.68
2015-04-30	17840.52
2015-03-31	17776.12
2015-02-27	18132.70
2015-01-30	17164.95
2014-12-31	17823.07
2014-11-28	17828.24
2014-10-31	17390.52
2014-09-30	17042.90
2014-08-29	17098.45
2014-07-31	16563.30
2014-06-30	16826.60
2014-05-30	16717.17
2014-04-30	16580.84
2014-03-31	16457.66
2014-02-28	16321.71
2014-01-31	15698.85
2013-12-31	16576.66
2013-11-29	16086.41
2013-10-31	15545.75
2013-09-30	15129.67
2013-08-30	14810.31
2013-07-31	15499.54
2013-06-28	14909.60
2013-05-31	15115.57
2013-04-30	14839.80
2013-03-29	14578.54
2013-02-28	14054.49
2013-01-31	13860.58
2012-12-31	13104.14
2012-11-30	13025.58
2012-10-31	13096.46
2012-09-28	13437.13
2012-08-31	13090.84
2012-07-31	13008.68
2012-06-29	12880.09
2012-05-31	12393.45
2012-04-30	13213.63
2012-03-30	13212.04
2012-02-29	12952.07
2012-01-31	12632.91
2011-12-30	12217.56
2011-11-30	12045.68
2011-10-31	11955.01
2011-09-30	10913.38
2011-08-31	11613.53
2011-07-29	12143.24
2011-06-30	12414.34
2011-05-31	12569.79
2011-04-29	12810.54
2011-03-31	12319.73
2011-02-28	12226.34
2011-01-31	11891.93
2010-12-31	11577.51
2010-11-30	11006.02
2010-10-29	11118.49
2010-09-30	10788.05
2010-08-31	10014.72
2010-07-30	10465.94
2010-06-30	9774.02
2010-05-31	10136.63
2010-04-30	11008.61
2010-03-31	10856.63
2010-02-26	10325.26
2010-01-29	10067.33
2009-12-31	10428.05
2009-11-30	10344.84
2009-10-30	9712.73
2009-09-30	9712.28
2009-08-31	9496.28
2009-07-31	9171.61
2009-06-30	8447.00
2009-05-29	8500.33
2009-04-30	8168.12
2009-03-31	7608.92
2009-02-27	7062.93
2009-01-30	8000.86
2008-12-31	8776.39
2008-11-28	8829.04
2008-10-31	9325.01
2008-09-30	10850.66
2008-08-29	11543.55
2008-07-31	11378.02
2008-06-30	11350.01
2008-05-30	12638.32
2008-04-30	12820.13
2008-03-31	12262.89
2008-02-29	12266.39
2008-01-31	12650.36
2007-12-31	13264.82
2007-11-30	13371.72
2007-10-31	13930.01
2007-09-28	13895.63
2007-08-31	13357.74
2007-07-31	13211.99
2007-06-29	13408.62
2007-05-31	13627.64
2007-04-30	13062.91
2007-03-30	12354.35
2007-02-28	12268.63
2007-01-31	12621.69
2006-12-29	12463.15
2006-11-30	12221.93
2006-10-31	12080.73
2006-09-29	11679.07
2006-08-31	11381.15
2006-07-31	11185.68
2006-06-30	11150.22
2006-05-31	11168.31
2006-04-28	11367.14
2006-03-31	11109.32
2006-02-28	10993.41
2006-01-31	10864.86
2005-12-30	10717.50
2005-11-30	10805.87
2005-10-31	10440.07
2005-09-30	10568.70
2005-08-31	10481.60
2005-07-29	10640.91
2005-06-30	10274.97
2005-05-31	10467.48
2005-04-29	10192.51
2005-03-31	10503.76
2005-02-28	10766.23
2005-01-31	10489.94
2004-12-31	10783.01
2004-11-30	10428.02
2004-10-29	10027.47
