Date	Last Price
2026-04-06	356.3310
2026-04-03	354.8304
2026-03-27	366.7296
2026-03-20	351.0687
2026-03-13	339.7530
2026-03-06	330.6400
2026-02-27	326.4126
2026-02-20	319.3750
2026-02-13	316.6424
2026-02-06	310.0261
2026-01-30	300.9227
2026-01-23	288.8436
2026-01-16	281.0692
2026-01-09	272.8008
2026-01-02	272.2098
2025-12-26	264.5290
2025-12-19	261.1470
2025-12-12	267.7180
2025-12-05	270.7677
2025-11-28	268.2758
2025-11-21	264.6221
2025-11-14	272.3143
2025-11-07	265.6156
2025-10-31	262.7926
2025-10-24	262.4564
2025-10-17	255.3454
2025-10-10	254.6551
2025-10-03	263.6021
2025-09-26	271.1098
2025-09-19	260.6887
2025-09-12	260.9648
2025-09-05	257.2990
2025-08-29	265.4210
2025-08-22	260.7210
2025-08-15	254.5385
2025-08-08	253.2306
2025-08-01	253.3613
2025-07-25	256.2250
2025-07-18	253.6337
2025-07-11	260.5512
2025-07-04	255.8033
2025-06-27	251.7813
2025-06-20	259.0354
2025-06-13	257.6423
2025-06-06	244.2058
2025-05-30	239.1314
2025-05-23	239.0950
2025-05-16	246.0438
2025-05-09	240.5691
2025-05-02	239.4831
2025-04-25	240.1881
2025-04-18	236.9109
2025-04-11	227.3666
2025-04-04	230.6032
2025-03-28	263.9746
2025-03-21	261.7748
2025-03-14	253.6348
2025-03-07	247.5102
2025-02-28	254.6442
2025-02-21	255.3508
2025-02-14	255.1860
2025-02-07	251.9099
2025-01-31	249.4767
2025-01-24	257.0445
2025-01-17	262.8028
2025-01-10	250.9487
2025-01-03	248.2649
2024-12-27	240.4536
2024-12-20	236.9977
2024-12-13	249.5258
2024-12-06	254.3911
2024-11-29	263.9370
2024-11-22	268.9513
2024-11-15	262.4892
2024-11-08	262.0641
2024-11-01	251.4900
2024-10-25	257.1504
2024-10-18	258.2029
2024-10-11	265.1117
2024-10-04	266.0506
2024-09-27	250.6864
2024-09-20	253.5758
2024-09-13	246.1545
2024-09-06	247.3087
2024-08-30	261.3187
2024-08-23	260.1482
2024-08-16	260.3610
2024-08-09	256.5152
2024-08-02	253.7645
2024-07-26	261.4318
2024-07-19	263.1237
2024-07-12	260.7710
2024-07-05	260.4506
2024-06-28	260.4076
2024-06-21	254.2807
2024-06-14	250.5224
2024-06-07	256.4880
2024-05-31	266.0546
2024-05-24	261.6545
2024-05-17	268.8231
2024-05-10	269.0405
2024-05-03	264.1046
2024-04-26	271.6258
2024-04-19	268.7125
2024-04-12	273.2035
2024-04-05	275.8943
2024-03-29	265.7816
2024-03-22	261.1635
2024-03-15	257.6138
2024-03-08	250.3167
2024-03-01	247.4880
2024-02-23	244.4130
2024-02-16	242.9581
