Date	Last Price
2026-03-31	22050
2026-02-28	29610
2026-01-31	28880
2025-12-31	29060
2025-11-30	28990
2025-10-31	29100
2025-09-30	29020
2025-08-31	28650
2025-07-31	28150
2025-06-30	28330
2025-05-31	27650
2025-04-30	27340
2025-03-31	27440
2025-02-28	27540
2025-01-31	27030
2024-12-31	27050
2024-11-30	27370
2024-10-31	26900
2024-09-30	26530
2024-08-31	27090
2024-07-31	27130
2024-06-30	27050
2024-05-31	27060
2024-04-30	26900
2024-03-31	26860
2024-02-29	26850
2024-01-31	27110
2023-12-31	28160
2023-11-30	28090
2023-10-31	28190
2023-09-30	28030
2023-08-31	27920
2023-07-31	27780
2023-06-30	28690
2023-05-31	28490
2023-04-30	28760
2023-03-31	29110
2023-02-28	29240
2023-01-31	29120
2022-12-31	29180
2022-11-30	28990
2022-10-31	29840
2022-09-30	29950
2022-08-31	29660
2022-07-31	29050
2022-06-30	28780
2022-05-31	28720
2022-04-30	28720
2022-03-31	28690
2022-02-28	28510
2022-01-31	28170
2021-12-31	28090
2021-11-30	28000
2021-10-31	27650
2021-09-30	27440
2021-08-31	27130
2021-07-31	26820
2021-06-30	26400
2021-05-31	25610
2021-04-30	25240
2021-03-31	25320
2021-02-28	25030
2021-01-31	25790
2020-12-31	25480
2020-11-30	25260
2020-10-31	24650
2020-09-30	24270
2020-08-31	24390
2020-07-31	23870
2020-06-30	22530
2020-05-31	24550
2020-04-30	30440
2020-03-31	28630
2020-02-29	27910
2020-01-31	28370
2019-12-31	28870
2019-11-30	29640
2019-10-31	29810
2019-09-30	28590
2019-08-31	29910
2019-07-31	29790
2019-06-30	30000
2019-05-31	30130
2019-04-30	30260
2019-03-31	30275
2019-02-28	30680
2019-01-31	31060
2018-12-31	32550
2018-11-30	33150
2018-10-31	33140
2018-09-30	32900
2018-08-31	32800
2018-07-31	32320
2018-06-30	32300
2018-05-31	31800
2018-04-30	31900
2018-03-31	31970
2018-02-28	32210
2018-01-31	32360
2017-12-31	32380
2017-11-30	32470
2017-10-31	32550
2017-09-30	32770
2017-08-31	32710
2017-07-31	32850
2017-06-30	32660
2017-05-31	32290
2017-04-30	31895
2017-03-31	31935
2017-02-28	32295
2017-01-31	32230
2016-12-31	33140
2016-11-30	34140
2016-10-31	33960
2016-09-30	33850
2016-08-31	33580
2016-07-31	33570
2016-06-30	33110
2016-05-31	32520
2016-04-30	32710
2016-03-31	32343
2016-02-29	32596
2016-01-31	32839
2015-12-31	32945
2015-11-30	32001
2015-10-31	32034
2015-09-30	32017
2015-08-31	32161
2015-07-31	32088
2015-06-30	32349
2015-05-31	31270
2015-04-30	31392
2015-03-31	31176
2015-02-28	30428
2015-01-31	30285
2014-12-31	30302
2014-11-30	30241
2014-10-31	30864
2014-09-30	30801
2014-08-31	30402
2014-07-31	30022
2014-06-30	30206
2014-05-31	29825
2014-04-30	29793
2014-03-31	30045
2014-02-28	30290
2014-01-31	29768
2013-12-31	29919
2013-11-30	29658
2013-10-31	29922
2013-09-30	30253
2013-08-31	30709
2013-07-31	30594
2013-06-30	30577
2013-05-31	30594
2013-04-30	30476
2013-03-31	30294
2013-02-28	30164
2013-01-31	30142
2012-12-31	30482
2012-11-30	31034
2012-10-31	31372
2012-09-30	31719
2012-08-31	31983
2012-07-31	31603
2012-06-30	31538
2012-05-31	31610
2012-04-30	31565
2012-03-31	31095
2012-02-29	31110
2012-01-31	30790
2011-12-31	30712
2011-11-30	30490
2011-10-31	29965
2011-09-30	30015
2011-08-31	29978
2011-07-31	29940
2011-06-30	29320
2011-05-31	28895
2011-04-30	28730
2011-03-31	28522
2011-02-28	29385
2011-01-31	29395
2010-12-31	29185
2010-11-30	29050
2010-10-31	29130
2010-09-30	28945
2010-08-31	29200
2010-07-31	29225
2010-06-30	29160
2010-05-31	29387
2010-04-30	29185
2010-03-31	29165
2010-02-28	29235
2010-01-31	29045
2009-12-31	29000
2009-11-30	28900
2009-10-31	28790
2009-09-30	28680
2009-08-31	28445
2009-07-31	28485
2009-06-30	28345
2009-05-31	28175
2009-04-30	27745
2009-03-31	27665
2009-02-28	27740
2009-01-31	28545
2008-12-31	29615
2008-11-30	31110
2008-10-31	32075
2008-09-30	32250
2008-08-31	32615
2008-07-31	32775
2008-06-30	32590
2008-05-31	32200
2008-04-30	31980
2008-03-31	32425
2008-02-29	32435
2008-01-31	32200
2007-12-31	32000
2007-11-30	31700
2007-10-31	31260
2007-09-30	30665
2007-08-31	30345
2007-07-31	30400
2007-06-30	30035
2007-05-31	30015
2007-04-30	30325
2007-03-31	29950
2007-02-28	30070
2007-01-31	29970
2006-12-31	28695
2006-11-30	28860
2006-10-31	29370
2006-09-30	29605
2006-08-31	29820
2006-07-31	29910
2006-06-30	29850
2006-05-31	29655
2006-04-30	29645
2006-03-31	29790
2006-02-28	29865
2006-01-31	29490
2005-12-31	29905
2005-11-30	29905
2005-10-31	30220
2005-09-30	30460
2005-08-31	30410
2005-07-31	30300
2005-06-30	30006
2005-05-31	29950
2005-04-30	29930
2005-03-31	29790
2005-02-28	29682
2005-01-31	29363
2004-12-31	29810
2004-11-30	30000
2004-10-31	30540
2004-09-30	30460
2004-08-31	29920
2004-07-31	29560
2004-06-30	29290
2004-05-31	28560
2004-04-30	28200
2004-03-31	28450
2004-02-29	28030
2004-01-31	28080
2003-12-31	28200
2003-11-30	28180
2003-10-31	27840
2003-09-30	27350
2003-08-31	27060
2003-07-31	26650
2003-06-30	26340
2003-05-31	26835
2003-04-30	26700
2003-03-31	27520
2003-02-28	27310
2003-01-31	25660
2002-12-31	24860
2002-11-30	26690
2002-10-31	26960
2002-09-30	25950
2002-08-31	25160
2002-07-31	25220
2002-06-30	24800
2002-05-31	24890
2002-04-30	24100
2002-03-31	25300
2002-02-28	24950
2002-01-31	25010
2001-12-31	25810
2001-11-30	26470
2001-10-31	26850
2001-09-30	27160
2001-08-31	27690
2001-07-31	27140
2001-06-30	25821
2001-05-31	27490
2001-04-30	27760
2001-03-31	28270
