Date	Last Price
2026-03-31	22050
2026-01-16	29610
2026-01-09	28880
2026-01-02	29060
2025-11-07	28990
2025-10-31	29100
2025-10-03	29020
2025-08-08	28650
2025-08-01	28150
2025-07-04	28330
2025-05-09	27650
2025-05-02	27340
2025-04-04	27440
2025-02-28	27540
2025-01-31	27030
2025-01-03	27050
2024-11-08	27370
2024-11-01	26900
2024-10-04	26530
2024-08-09	27090
2024-08-02	27130
2024-06-07	27050
2024-05-31	27060
2024-05-03	26900
2024-03-08	26860
2024-03-01	26850
2024-02-02	27110
2023-12-08	28160
2023-12-01	28090
2023-11-03	28190
2023-09-08	28030
2023-09-01	27920
2023-08-04	27780
2023-06-30	28690
2023-06-02	28490
2023-04-07	28760
2023-03-31	29110
2023-03-03	29240
2023-02-03	29120
2022-12-09	29180
2022-12-02	28990
2022-11-04	29840
2022-09-30	29950
2022-09-02	29660
2022-07-08	29050
2022-07-01	28780
2022-06-03	28720
2022-04-08	28720
2022-04-01	28690
2022-03-04	28510
2022-02-04	28170
2021-12-31	28090
2021-12-03	28000
2021-10-08	27650
2021-10-01	27440
2021-09-03	27130
2021-07-09	26820
2021-07-02	26400
2021-06-04	25610
2021-04-30	25240
2021-04-02	25320
2021-01-15	25030
2021-01-08	25790
2021-01-01	25480
2020-12-04	25260
2020-10-09	24650
2020-10-02	24270
2020-09-04	24390
2020-07-31	23870
2020-07-03	22530
2020-05-08	24550
2020-05-01	30440
2020-04-03	28630
2020-02-07	27910
2020-01-31	28370
2020-01-03	28870
2019-11-08	29640
2019-11-01	29810
2019-10-04	28590
2019-08-09	29910
2019-08-02	29790
2019-06-07	30000
2019-05-31	30130
2019-05-03	30260
2019-03-08	30275
2019-03-01	30680
2019-02-01	31060
2019-01-04	32550
2018-11-30	33150
2018-11-02	33140
2018-09-07	32900
2018-08-31	32800
2018-08-03	32320
2018-06-08	32300
2018-06-01	31800
2018-05-04	31900
2018-03-09	31970
2018-03-02	32210
2018-02-02	32360
2017-12-08	32380
2017-12-01	32470
2017-11-03	32550
2017-09-08	32770
2017-09-01	32710
2017-08-04	32850
2017-06-30	32660
2017-06-02	32290
2017-04-07	31895
2017-03-31	31935
2017-03-03	32295
2017-02-03	32230
2016-12-09	33140
2016-12-02	34140
2016-11-04	33960
2016-09-30	33850
2016-09-02	33580
2016-07-08	33570
2016-07-01	33110
2016-06-03	32520
2016-04-08	32710
2016-04-01	32343
2016-03-04	32596
2016-01-08	32839
2016-01-01	32945
2015-12-04	32001
2015-10-09	32034
2015-10-02	32017
2015-09-04	32161
2015-07-31	32088
2015-07-03	32349
2015-05-08	31270
2015-05-01	31392
2015-04-03	31176
2015-01-16	30428
2015-01-09	30285
2015-01-02	30302
2014-11-07	30241
2014-10-31	30864
2014-10-03	30801
2014-08-08	30402
2014-08-01	30022
2014-07-04	30206
2014-05-09	29825
2014-05-02	29793
2014-04-04	30045
2014-02-28	30290
2014-01-31	29768
2014-01-03	29919
2013-11-08	29658
2013-11-01	29922
2013-10-04	30253
2013-08-09	30709
2013-08-02	30594
2013-06-07	30577
2013-05-31	30594
2013-05-03	30476
2013-03-08	30294
2013-03-01	30164
2013-02-01	30142
2013-01-04	30482
2012-11-30	31034
2012-11-02	31372
2012-09-07	31719
2012-08-31	31983
2012-08-03	31603
2012-06-08	31538
2012-06-01	31610
2012-05-04	31565
2012-03-09	31095
2012-03-02	31110
2012-02-03	30790
2011-12-09	30712
2011-12-02	30490
2011-11-04	29965
2011-09-30	30015
2011-09-02	29978
2011-07-08	29940
2011-07-01	29320
2011-06-03	28895
2011-04-08	28730
2011-04-01	28522
2011-03-04	29385
2011-02-04	29395
2010-12-31	29185
2010-12-03	29050
2010-10-08	29130
2010-10-01	28945
2010-09-03	29200
2010-07-09	29225
2010-07-02	29160
2010-06-04	29387
2010-04-30	29185
2010-04-02	29165
2010-01-15	29235
2010-01-08	29045
2010-01-01	29000
2009-12-04	28900
2009-10-09	28790
2009-10-02	28680
2009-09-04	28445
2009-07-31	28485
2009-07-03	28345
2009-05-08	28175
2009-05-01	27745
2009-04-03	27665
2009-01-16	27740
2009-01-09	28545
2009-01-02	29615
2008-11-07	31110
2008-10-31	32075
2008-10-03	32250
2008-08-08	32615
2008-08-01	32775
2008-07-04	32590
2008-05-09	32200
2008-05-02	31980
2008-04-04	32425
2008-02-29	32435
2008-02-01	32200
2008-01-04	32000
2007-11-30	31700
2007-11-02	31260
2007-09-07	30665
2007-08-31	30345
2007-08-03	30400
2007-06-08	30035
2007-06-01	30015
2007-05-04	30325
2007-03-09	29950
2007-03-02	30070
2007-02-02	29970
2006-12-08	28695
2006-12-01	28860
2006-11-03	29370
2006-09-08	29605
2006-09-01	29820
2006-08-04	29910
2006-06-30	29850
2006-06-02	29655
2006-04-07	29645
2006-03-31	29790
2006-03-03	29865
2006-02-03	29490
2005-12-09	29905
2005-12-02	29905
2005-11-04	30220
2005-09-30	30460
2005-09-02	30410
2005-07-08	30300
2005-07-01	30006
2005-06-03	29950
2005-04-08	29930
2005-04-01	29790
2005-03-04	29682
2005-02-04	29363
2004-12-31	29810
