Date	Last Price
2026-04-07	6588.58
2026-03-31	6528.52
2026-02-27	6878.88
2026-01-30	6939.03
2025-12-31	6845.50
2025-11-28	6849.09
2025-10-31	6840.20
2025-09-30	6688.46
2025-08-29	6460.26
2025-07-31	6339.39
2025-06-30	6204.95
2025-05-30	5911.69
2025-04-30	5569.06
2025-03-31	5611.85
2025-02-28	5954.50
2025-01-31	6040.53
2024-12-31	5881.63
2024-11-29	6032.38
2024-10-31	5705.45
2024-09-30	5762.48
2024-08-30	5648.40
2024-07-31	5522.30
2024-06-28	5460.48
2024-05-31	5277.51
2024-04-30	5035.69
2024-03-29	5254.35
2024-02-29	5096.27
2024-01-31	4845.65
2023-12-29	4769.83
2023-11-30	4567.80
2023-10-31	4193.80
2023-09-29	4288.05
2023-08-31	4507.66
2023-07-31	4588.96
2023-06-30	4450.38
2023-05-31	4179.83
2023-04-28	4169.48
2023-03-31	4109.31
2023-02-28	3970.15
2023-01-31	4076.60
2022-12-30	3839.50
2022-11-30	4080.11
2022-10-31	3871.98
2022-09-30	3585.62
2022-08-31	3955.00
2022-07-29	4130.29
2022-06-30	3785.38
2022-05-31	4132.15
2022-04-29	4131.93
2022-03-31	4530.41
2022-02-28	4373.94
2022-01-31	4515.55
2021-12-31	4766.18
2021-11-30	4567.00
2021-10-29	4605.38
2021-09-30	4307.54
2021-08-31	4522.68
2021-07-30	4395.26
2021-06-30	4297.50
2021-05-31	4204.11
2021-04-30	4181.17
2021-03-31	3972.89
2021-02-26	3811.15
2021-01-29	3714.24
2020-12-31	3756.07
2020-11-30	3621.63
2020-10-30	3269.96
2020-09-30	3363.00
2020-08-31	3500.31
2020-07-31	3271.12
2020-06-30	3100.29
2020-05-29	3044.31
2020-04-30	2912.43
2020-03-31	2584.59
2020-02-28	2954.22
2020-01-31	3225.52
2019-12-31	3230.78
2019-11-29	3140.98
2019-10-31	3037.56
2019-09-30	2976.74
2019-08-30	2926.46
2019-07-31	2980.38
2019-06-28	2941.76
2019-05-31	2752.06
2019-04-30	2945.83
2019-03-29	2834.40
2019-02-28	2784.49
2019-01-31	2704.10
2018-12-31	2506.85
2018-11-30	2760.17
2018-10-31	2711.74
2018-09-28	2913.98
2018-08-31	2901.52
2018-07-31	2816.29
2018-06-29	2718.37
2018-05-31	2705.27
